Nhan ??,Nhan ?? khác,Tác gi?,Tác gi? khác,Ch? ??/T? khóa,Thông tin xu?t b?n,Barcode
Monetary theory and policy / Carl E. Walsh, ,"Walsh, Carl E.", ,"Finance and  Banking;""Monetary policy"";""Money""","London, England ; Cambridge, Massachusetts : MIT Press, 2017",NV00002147
"From brand vision to brand evaluation : the strategic process of growing and strengthening brands/ De Chernatony, Leslie", ,"De Chernatony, L.", ,"Marketing;""Brand name products"";""Product management""","Amsterdam: Butterworth-Heinemann, 2010","NV00002799;""NV00002800"""
"Cost-benefit analysis : concepts and practice / Anthony E. Boardman, David H. Greenberg, Aidan R. Vining, David L. Weimer", ,"Boardman, Anthony E.","Weimer David L.;""Vining Aidan R."";""Greenberg David H."";""Boardman Anthony E.""","Finance and Banking;""Cost effectiveness.""","Cambridge, United Kingdom ; New York, NY : Cambridge University Press, [2018]","NV00002024;""NV00002023"""
Urban economics and fiscal policy / Holger Sieg, ,"Sieg, Holger", ,"Economics;""Urban economics"";""Metropolitan government"";""Fiscal policy""","Princeton : Princeton University Press, 2020","NV00001824;""NV00001825"""
"Real estate market valuation and analysis / Joshua Kahr, Michael C. Thomsett", ,"Kahr, Joshua","Thomsett, Michael C.","Marketing;""Real property"";""Real estate investment""","Hoboken, N.J. : Wiley, 2005","NV00002778;""NV00002777"""
"Earned value project management / Quentin W. Fleming, Joel M. Koppelman", ,"Fleming, Quentin W.","Koppelman, Joel M.","Finance and Banking;""Cost control."";""Program budgeting."";""Production control."";""Project management.""","Newtown Square, Pa. : Project Management Institute, 2010","NV00002094;""NV00002093"""
"Health systems in low- and middle-income countries : an economic and policy perspective / Richard D. Smith, Kara Hanson", , ,"Smith, Richard;""Hanson, Kara""","Social Sciences;""Delivery of Health Care"";""Health Policy"";""Health Care Sector""","Oxford ; New York : Oxford University Press, 2012","NV00002336;""NV00002335"""
Introductory econometrics for finance / Chris Brooks, ,"Brooks, Chris", ,"Finance and Banking;""Finance"";""Econometrics.""","Cambridge ; New York : Cambridge University Press, [2014]",NV00002158
"Brand management : mastering research, theory and practice / Tilde Heding, Charlotte F. Knudtzen, Mogens Bjerre.", ,"Heding, Tilde","Knudtzen, Charlotte F.;""Bjerre, Mogens""","Marketing;""Brand name products"";""Branding (Marketing)""","New York : Routledge, 2020","NV00002780;""NV00002779"""
Digital marketing strategy : an integrated approach to online marketing / Simon Kingsnorth, ,"Kingsnorth, Simon", ,"Marketing;""Electronic commerce"";""Internet marketing"";""Strategic planning""","London ; New York : Kogan Page Ltd, [2019]","NV00002782;""NV00002781"""
"Critical thinking / Brooke Noel Moore,  Richard Parker", ,"Moore,Brooke Noel","Parker, Richard","Philososhy;""Critical thinking""","United States of America: McGraw-Hill Education , 2021","NV00002953;""NV00002952"""
"Crisis, issues and reputation management / Andrew Griffin", ,"Griffin, Andrew", ,"Marketing;""Corporate image"";""Crisis management"";""Reputation."";""Corporations""","London : Kogan Page Limited, [2014]","NV00002784;""NV00002783"""
Product management in practice : a real-world guide to the key connective role of the 21st century / Matt LeMay, ,"LeMay, Matthew", ,"Marketing;""Product management""","Beijing : O'Reilly, [2018]","NV00002786;""NV00002785"""
"Business ethics :  decision making for personal integrity and social responsibility / Laura Pincus Hartman , Joseph DesJardins , Chris MacDonald", ,"Hartman, Laura Pincus","DesJardins, Joseph;""MacDonald, Chris""","Philososhy;""Business ethics"";""Morale des affaires""","New York : McGraw-Hill Education, 2021","NV00002947;""NV00002946"""
Early stage valuation : a fair value perspective / Antonella Puca, , ,"Puca, Antonella","Finance and Banking;""Business enterprises"";""Financial statements"";""Fair value"";""Accounting""","Hoboken : Wiley, 2020","NV00002137;""NV00002138"""
"Ethics in the hospitality and tourism industry / Karen Lieberman, Bruce Nissen", ,"Lieberman, Karen","Nissen, Bruce","Hospitality industry;""Philososhy""","Lansing, Mich. : American Hotel & Lodging Educational Institute, c2008",NV00002949
"Online Marketing: 2 Books in 1: Social Media Marketing + Content Marketing to Learn Step-by-Step the Best Online Marketing Strategies to Boost Your Business/ Gerry T. Warner, Joe Wilson Schaefer", ,"Warner, Gerry T","Schaefer, Joe Wilson","Marketing;""Social Media Marketing"";""Online Marketing Strategies""","United States: .C. Publishing, 2018","NV00002788;""NV00002787"""
"Business ethics : decision making for personal integrity and social responsibility / Laura P. Hartman, Joseph DesJardins, Chris MacDonald", ,"Hartman, Laura P.","MacDonald, Chris;""DesJardins, Joseph R.""","Philososhy;""Business ethics""","New York, NY : McGraw-Hill Education, [2018]",NV00002948
Ethics in public relations : a guide to best practice / Patricia J. Parsons, ,"Parsons, Patricia J.",Chartered Institute of Public Relations.,"Philososhy;""Public relations.""","Philadelphia, PA : Kogan Page Ltd, 2016","NV00002951;""NV00002950"""
"Management across cultures : Challenges, strategies, and skills/ Richard M. Steers, Joyce S. Osland", ,"Steers, Richard M.","Osland, Joyce M.","Excutive Management;""Management"";""Cultures""","Cambridge: Cambridge University, 2020","NV00002558;""NV00002559"""
The economy / the CORE Team,Economy : economics for a changing world,CORE Team, ,"Economics;""Economics Textbooks"";""International economic relations Textbooks"";""EconomicsStudy and teaching""","Oxford : Oxford University Press, 2017","NV00001821;""NV00001820"""
The advertising agency business : the complete manual for management & operation / Eugene J. Hameroff., ,"Hameroff, Eugene J.","Gardner, Herbert S.","Marketing;""Advertising agencies""","Lincolnwood, Ill. : NTC Business Books, 1998","NV00002792;""NV00002791"""
Understanding business valuation : a practical guide to valuing small to medium-sized businesses / Gary R. Trugman, ,"Trugman, Gary R.", ,"Finance and Banking;""Business enterprises Valuation"";""Small business Valuation""","New York : American Institute of Certified Public Accountants, 2017","NV00002136;""NV00002135"""
An introduction to business ethics/ Joseph R. DesJardins, ,"DesJardins,Joseph R.", ,"Philososhy;""Business ethics""","New York: McGraw-Hill Education , 2020","NV00002955;""NV00002954"""
The motive : why so many leaders abdicate their most important responsibilities / Patrick Lencioni, ,"Lencioni, Patrick", ,"Marketing;""Leadership""","Hoboken, New Jersey : John Wiley & Sons, Inc., [2020]",NV00002774
"A world religions reader / Edit by Lan S. Markham,  Christy Lohr Sapp", , ,"Sapp, Christy Lohr (Editor);""Lan, S.Markham (Editor)""","Philososhy;""Religions""","Hoboken, NJ, USA : Wiley-Blackwell, [2020]","NV00002957;""NV00002956"""
"Financial forecasting, analysis, and modelling : a framework for long-term forecasting / Michael Samonas", ,"Samonas, Michael", ,"Finance and Banking;""Corporations"";""Finance""","Chichester, West Sussex, United Kingdom : Wiley, 2015","NV00002080;""NV00002079"""
"Instabrain : the new rules for marketing to generation Z/ Sarah Weise, John Wuebben", ,"Weise, Sarah","Wuebben, John","Marketing;""Generation Z"";""Marketing Aspect psychologique""","United States: publisher not identified, 2019","NV00002713;""NV00002714"""
AI and the future of banking / Tony Boobier, ,"Boobier, Tony", ,"Finance and Banking;""Banks and banking"";""Artificial intelligence""","Chichester, West Sussex, United Kingdom : Wiley, 2020","NV00002032;""NV00002031"""
"Corporate governance : Principles, policies and practices / Robert I. Tricker", ,"Tricker, Robert I.", ,"Excutive Management;""Corporate governance""","Oxford : Oxford University, 2020","NV00002562;""NV00002563"""
"Machine learning in finance : from theory to practice/ :Matthew F. Dixon, Igor Halperin, Paul Bilokon", ,"Dixon, Matthew F.","Bilokon, Paul A.;""Halperin, Igor""","Economics;""Business & Economics Statistics"";""Apprentissage automatique"";""Finance Data processing""","Germany : Springer, Cham, 2020","NV00001822;""NV00001823"""
"The essentials of risk management / Michel Crouhy, Dan Galai, Robert Mark", ,"Crouhy, Michel","Galai, Dan;""Mark, Robert""","Finance and Banking;""Risk management.""","New York : McGraw-Hill, [2014]","NV00002113;""NV00002114"""
"Marketing 4.0 : Moving from traditional to digital / Philip Kotler, Hermawan Kartajaya, Iwan Setiawan",Marketing four point zero,"Kotler, Philip","Kartajaya, Hermawan;""Setiawan, Iwan""","Marketing.;""Internet marketing.""","Hoboken, New Jersey : Wiley, [2017]","NV00002776;""NV00002775"""
"Merchandising : theory, principles, and practice / Grace I. Kunz.", ,"Kunz, Grace I.", ,"Marketing;""Fashion merchandising."";""Merchandising.""","New York, NY : Fairchild Books, 2009",NV00002773
"Sustainable urban and regional infrastructure development : technologies, applications and management / Tan Yigitcanlar", , , ,"Commerce;""Infrastructure (Economics)"";""Public works"";""City planning"";""Regional planning""","Hershey, PA : Information Science Reference, 2010",NV00002937
"Essentials of business communication / Mary Ellen Guffey, Dana Loewy.", ,"Guffey, Mary Ellen","Loewy, Dana","Marketing;""Business writing."";""English language"";""Business communication.""","Boston, MA : Cengage Learning, [2019]",NV00002770
"Strategic brand management : building, measuring, and managing brand equity / Kevin Lane Keller", ,"Keller, Kevin Lane", ,"Marketing;""Brand name products""","Boston : Pearson, 2013",NV00002771
International trade in agricultural products  Michael Reed, ,"Reed, Michael", ,"Commerce;""Agriculture and state"";""International Trade""",USA  : Pearson Education  2021,"NV00002940;""NV00002939"""
"Monetary economics : policy and its theoretical basis / Keith Bain, Peter Howells", ,"Bain, Keith","Howells, Peter","Finance and Banking;""Monetary policy""","United States: Palgrave Macmillan, Basingstoke, 2009","NV00002033;""NV00002034"""
"Economic forecasting and policy / Nicolas Carnot, Vincent Koen, Bruno Tissot", ,"Carnot, Nicolas","Koen, Vincent;""Tissot, Bruno"";""Carnot, Nicolas""","Economics;""Economic forecasting""","Houndmills, Basingstoke Hampshire ; New York : Palgrave Macmillan, 2011","NV00001815;""NV00001814"""
"Marketing management in the hospitality industry/ Robert D. Reid, David C. Bojanic", ,"Reid, Robert D.","Bojanic, David C.","Marketing;""Food service Marketing"";""Hospitality industry Marketing""","Hoboken, New Jersey: John Wiley & Sons, Inc., 2018",NV00002772
International trade and agriculture / Won W. Koo and P. Lynn Kennedy., ,"Koo, Won W.","Lynn Kennedy, L.","Commerce;""International trade"";""Produce trade""","Malden, MA : Blackwell Pub., 2005","NV00002944;""NV00002938"""
"Service quality : new directions in theory and practice /  Roland T. Rust, Richard L. Oliver.", ,"Rust, Roland T.","Oliver, Richard L.","Marketing;""Customer services"";""Consumer satisfaction""","Thousand Oaks, Calif. : Sage Publications, 1994","NV00002755;""NV00002754"""
Corporate risk management : theories and applications / Georges Dionne, ,"Dionne, Georges", ,"Finance and Banking;""Risk management.""","Hoboken, New Jersey : Wiley, [2019]","NV00002030;""NV00002029"""
"Taxation : incorporating the 2019 Finance Act/ Alan Combs, Ricky Tutin, Peter Rowes", ,"Combs, Alan","Tutin, Ricky;""Rowes, Peter""","Finance and Banking;""Taxation""","Birmingham : Fiscal Publication, 2019","NV00002037;""NV00002038"""
"Fundamentals of risk management : understanding, evaluating and implementing effective risk management / Paul Hopkin", ,"Hopkin, Paul", ,"Finance and  Banking;""Risk management.""","New York : Kogan Page, [2018]","NV00002122;""NV00002121"""
"Managing bids, tenders and proposals : Introducing the bid. Win. Deliver framework / James Noel Smith", ,"Smith, James Noel", ,"Excutive Management;""Managing bids"";""Managing tenders""","Irvine - Boca Raton : Universal, 2017","NV00002084;""NV00002083"""
The airline industry :  challenges in the 21st century / Alessandro Cento, ,"Cento, Alessandro", ,"Commerce;""Airlines Economic aspects"";""Billigflieger""",Heidelberg: Physica-Verlag. 2009,NV00002945
"The AI book : the artificial intelligence handbook for investors, entrepreneurs and fintech visionaries / Susanne Chishti, Ivana Bartoletti, Anne Leslie, Shan Millie",Artificial intelligence book,"Chishti, Susanne","Chishti, Susanne;""Bartoletti, Ivana"";""Leslie, Anne"";""Millie, Sha?n M.""","Finance and Banking;""Artificial intelligence"";""Financial services industry"";""Finance""","United Kingdom : Wiley, 2020","NV00002107;""NV00002108"""
Damodaran on valuation : security analysis for investment and corporate finance / Aswath Damodaran, ,"Damodaran, Aswath", ,"Finance and Banking;""Corporations"";""Capital assets pricing model."";""Investment analysis.""","Hoboken, N.J. : John Wiley & Sons, 2006","NV00002110;""NV00002109"""
Global shift : mapping the changing contours of the world economy / Peter Dicken, ,"Dicken, Peter", ,"Commerce;""World Economy""","Thousand Oaks, CA : SAGE Publications Ltd, 2015","NV00002943;""NV00002942"""
Investment valuation : tools and techniques for determining the value of any asset / Aswath Damodaran, ,"Damodaran, Aswath", ,"Finance and  Banking;""Corporations""","Hoboken, New Jersey : Wiley, 2012","NV00002140;""NV00002139"""
Risk management and financial institutions / John C. Hull, ,"Hull, John C.", ,"Finance and Banking;""Risk management."";""Financial institutions""","Hoboken, NewJersey : Wiley, [2018]","NV00002036;""NV00002035"""
"Actuarial statistics with r : theory and case studies / Guojun Gan, Emiliano A. Valdez.", ,"Gan, Guojun", ,"Statistical;""Actuarial Statistics""","New Hartford, CT : ACTEX Learning, a division of SRBooks Inc., 2018",NV00002915
"Real estate finance and investments/ William B. Brueggeman, Jeffrey D. Fisher", ,Brueggeman William B,"Fisher, Jeffrey D.","Finance and  Banking;""Mortgage loans"";""Real property Finance""","New York : McGraw-Hill Education, 2019","NV00002027;""NV00002028"""
"Capital markets : institutions, instruments, and risk management / Frank J. Fabozzi", ,"Fabozzi, Frank J.", ,"Finance and Banking;""Capital market""","Cambridge, Massachusetts : The MIT Press, [2015]",NV00002157
"Statistics for business & economics / Davis R. Anderson, Thomas A. Williams, Dennis J. Sweeney, Jeffrey D. Camm, James J. Cochran, Michael J. Fry, Jeffrey W. Ohlmann", , ,"Ohlmann, Jeffrey W.;""Cochran, James J."";""Fry, Michael J."";""Anderson, Davis R."";""Williams, Thomas A."";""Sweeney, Dennis J."";""Camm, Jeffrey D.""","Statistica;""Economics""","Singapore  : Cengage , 2019","NV00002971;""NV00002970"""
"Principles of corporate finance / Richard A. Brealey, Stewart C. Myers, Franklin Allen", ,"Brealey, Richard A.","Myers, Stewart C.;""Allen, Franklin""","Finance and Banking;""Business and Management"";""Corporations Finance""","New York : McGraw-Hill Education, 2020","NV00002039;""NV00002040"""
"Service quality / Valarie A. Zeithaml, A. Parasuraman", ,"Zeithaml, Valarie A.","Parasuraman, A.","Marketing;""Customer services"";""Evaluation""","Cambridge, Mass. : Marketing Science Institute, 2004","NV00002767;""NV00002766"""
"Marketing in the public sector : a roadmap for improved performance / Philip Kotler, Nancy Lee", ,"Kotler, Philip","Lee, Nancy","Marketing;""Government productivity."";""Public administration"";""Administrative agencies""","Upper Saddle River, N.J. : Wharton School Pub., 2007","NV00002765;""NV00002764"""
Macroeconomics / Michael Parkin, ,"Parkin, Michael", ,Economics,"New York, NY : Pearson, 2018","NV00001811;""NV00001810"""
Crisis communications : a casebook approach / Kathleen Fearn-Banks University of Washington., ,"Fearn-Banks, Kathleen", ,"Marketing;""Public relations"";""Crisis management"";""Advertising""","New York, NY : Routledge, Taylor & Francis Group 2017","NV00002769;""NV00002768"""
"Project marketing : beyond competitive bidding / Bernard Cova, Pervez Ghauri, Robert Salle", ,"Cova, Bernard.","Ghauri, Pervez N.;""Salle, Robert""","Marketing.;""Project management.""","Chichester, West Sussex, England ; New York : J. Wiley, 2002","NV00002763;""NV00002762"""
Financial econometrics : models and methods / Oliver Linton, ,"Linton, Oliver", ,"Finance and Banking;""Finance Econometric models"";""Finance Mathematical models""","Cambridge : Cambridge University Press,  2019","NV00002051;""NV00002052"""
"Marketing metrics : the manager's guide to measuring marketing performance / Neil T. Bendle, Paul W. Farris, Phillip E. Pfeifer, David J. Reibstein", , ,"Reibstein, David J;""Bendle, Neil T."";""Farris, Paul W."";""Pfeifer, Phillip E.""","Marketing;""Marketing research."";""Performance""","Upper Saddle River, NJ : Pearson Education, [2016]","NV00002761;""NV00002760"""
Strategic Staffing / Jean M. Phillips, ,"Phillips, Jean M.", ,"Labor Economics;""Employee selection"";""Personnel Direction""","Chicago  : Business press , 2020","NV00002973;""NV00002972"""
"Advertising and promotion : an integrated marketing communications perspective / George E. Belch,  Michael A. Belch.", ,"Belch, George E.","Belch, Michael A.","Marketing;""Advertising."";""ales promotion."";""Communication in marketing""","Boston, Mass. : Irwin/McGraw-Hill 2001","NV00002759;""NV00002758"""
"Management Control Systems / :Frank G. H. Hartmann, Kalle Kraus, Göran Nilsson, Robert Newton Anthony, Vijay Govindarajan", ,"Hartmann, Frank G. H.","Kraus, Kalle;""Nilsson, Göran"";""Anthony Robert Newton"";""Govindarajan, Vijay""","Finance and Banking;""Cost control Cost control"";""Cost control / Case studies""","London : McGraw-Hill, 2021","NV00002054;""NV00002053"""
"Be less zombie : how great companies create dynamic innovation, fearless leadership and passionate people / Elvin Turner", ,"Turner, Elvin", ,"Executive Management;""Organizational change."";""Leadership.""","[Hoboken, NJ] : Wiley-Capstone, 2020","NV00002647;""NV00002646"""
"Fixed income securities : valuation, risk, and risk management / Pietro Veronesi", ,"Veronesi, Pietro", ,"Finance and Banking;""Fixed-income securities."";""Risk management.""","Hoboken, N.J. : Wiley, 2010",NV00002155
"Quantitative risk management : concepts, techniques and tools / Alexander J. McNeil, Ru?diger Frey, Paul Embrechts", ,"McNeil, Alexander J.","Frey, Ru?diger","Finance and Banking;""Risk management"";""Finance"";""Insurance"";""Mathematical statistics.""","Princeton, NJ : Princeton University Press, [2015]",NV00002144
Innovation and entrepreneurship / John Bessant and Joe Tidd., ,"Bessant, J. R.","Tidd, Joe","Excutive Management;""Creative ability in business"";""Entrepreneurship""","Hoboken, New Jersey : Wiley, [2015]",NV00002616
"The invincible company / Alexander Osterwalder, Yves Pigneur, Frederic Etiemble, Alan Smith", ,"Smith, Alan","Osterwalder, Alexander;""Pigneur, Yves"";""Etiemble, Frederic""","Executive Management;""Organizational change."";""Creative ability in business."";""Strategic planning."";""Electronic commerce.""","Hoboken : Wiley, 2020","NV00002681;""NV00002680"""
"Optimizing company cash : a guide for financial professionals / Miche?le Allman-Ward, A. Peter Allman-Ward", ,"Allman-Ward, Michele","Allman-Ward, A. Peter.;""American Institute of Certified Public Accountants.""","Finance and Banking;""Cash management""","New York, NY. : AICPA, 2007","NV00002118;""NV00002117"""
"Managing change, creativity & innovation / Patrick Dawson, Constantine Andriopoulos.", ,"Dawson, Patrick", ,"Excutive Management;""Organizational change"";""Change Management""","Los Angeles : SAGE, 2017",NV00002617
Project risk management : essential methods for project teams and decision makers / Yuri Raydugin., ,"Raydugin, Yuri", ,"Executive Management;""Project management."";""Risk management.""","Hoboken : Wiley, 2013","NV00002674;""NV00002675"""
"Financial markets and institutions/ Anthony Saunders, Marcia Millon", ,Saunders Anthony,"Millon, Marcia","Finance and Banking;""Financial institutions"";""Management""","New York : McGraw-Hill/Irwin, 2012","NV00002088;""NV00002087"""
"Open source leadership : reinventing management when there's no more business as usual / Rajeev Peshawaria, Adel Jayasuria, Nadine France, Michael Eric Kossler.", , ,"Peshawaria, Rajeev;""Jayasuria,  Adel"";""France, Nadine"";""Kossler, Michael Eric""","Executive Management;""Leadership.""","New York : McGraw-Hill Education, [2018]","NV00002660;""NV00002661"""
"Negotiation / Roy J. Lewicki, David M. Saunders, Bruce Barry.", ,"Lewicki, Roy J.","Saunders, David M.;""Barry, Bruce""","Excutive Management;""Negotiation in business""","New York, NY : McGraw-Hill Education, [2015]",NV00002615
"Fundamentals of corporate finance / Stephen A. Ross, Randolph Westerfield, Bradford D. Jordan", ,"Ross, Stephen A.","Westerfield, Randolph;""Jordan, Bradford D""","Finance and Banking;""Corporations Finance""","New York, NY : McGraw-Hill Education, 2019","NV00002089;""NV00002090"""
"Creative management of complex systems.  Volume 19 / Jean-Alain Heraud, Fiona Kerr, Thierry Burger-HelmchenV", ,"Heraud, Jean-Alain","Kerr, Fiona;""Helmchen, Thierry Burger""","Excutive Management;""Electronic books"";""Gestion""",Incorporated: John Wiley & Sons  2019,"NV00002712;""NV00002614"""
"The Innovator's Playbook : how to design great products, services and experiences your customers will love/ Nathan Baird", ,"Baird, Nathan", ,"Executive Management;""Affaires""","John Wiley and Sons Australia: au  Austria, 2020","NV00002659;""NV00002658"""
"The Toyota engagement equation : how to understand and implement continuous improvement thinking in any organization / Tracey Richardson, Ernie Richardson.", ,"Richardson, Tracey M.","Richardson, Ernie","Executive Management;""Lean manufacturing."";""Organizational effectiveness."";""Production management.""","New York : McGraw-Hill Education, [2017]","NV00002649;""NV00002648"""
"Cost management : a strategic emphasis / Edward Blocher, David Edward Stout, Paul E. Juras, Steven D. Smith", ,"Blocher, Edward","Blocher, Edward;""Stout, David Edward"";""Juras, Paul E."";""Smith, Steven D.""","Finance and Banking;""Cost accounting"";""Managerial accounting""","New York : McGraw-Hill Education, 2019","NV00002056;""NV00002055"""
"The internationalization of technological innovation for Chinese firms / Jin Chen, Gang Zheng", ,"Jin, Chen","Zheng, Gang","Executive Management;""Technological innovations"";""Industries""","New Jersey : World Scientific, 2019","NV00002650;""NV00002651"""
"Value for money : how to show the value for money for all types of projects and programs in governments, nongovernmental organizations, nonprofits, and businesses / Patricia Pulliam Phillips, Jack J. Phillips, Gina Paone, Cyndi Huf Gaudet", ,"Phillips, Patricia Pulliam","Phillips, Jack J.;""Paone, Gina"";""Gaudet, Cyndi Huf""","Excutive Management;""Project management"";""Evaluation research""","Hoboken, New Jersey : John Wiley & Sons, Inc. ; Scrivener Publishing LLC : Salem, Massachusetts, [2019]",NV00002613
"Foundations of finance : the logic and practice of financial management / Arthur J. Keown, John D. Martin, J. William Petty", ,"Keown, Arthur J.","Martin, John D.;""Petty, J. William""","Finance and Banking;""Corporations Finance""","Harlow, Essex : Pearson Education, 2020","NV00002095;""NV00002096"""
"Creating an effective management system : integrating policy deployment, TWI, and Kata/ Patrick Graupp, Skip Steward, Brad Parsons", ,"Graupp, Patrick","Parsons, Brad;""Steward, Skip""","Executive Management;""Management""","New York: CRC Press, Taylor & Francis Group, a Productivity Press Book, 2020","NV00002665;""NV00002664"""
Presentation skills for managers / Kerri Garbis, ,"Garbis, Kerri", ,"Excutive Management;""Business presentations""","New York : McGraw-Hill Education, 2016","NV00002671;""NV00002612"""
"Business data science : combining machine learning and economics to optimize, automate, and accelerate business decisions / Matt Taddy.", ,"Taddy, Matt", ,"Executive Management;""Decision making"";""Machine learning.""","New York : McGraw-Hill Education, 2019","NV00002663;""NV00002662"""
"The basics of process improvement / Tristan Boutros, Jennifer Cardella ; illustrations by Dustin Duffy.", ,"Boutros, Tristan","Cardella, Jennifer","Excutive Management;""Reengineering (Management)"";""Workflow"";""Process control"";""Quality control""","Boca Raton : CRC Press, Taylor & Francis Group, 2016","NV00002670;""NV00002611"""
"Managerial accounting : tools for business decision making / Jerry J. Weygandt, Donald E. Kieso, Paul D. Kimmel", ,"Weygandt, Jerry J.","Kieso, Donald E.;""Kimmel, Paul D.""","Finance and Banking;""Managerial accounting""","Hoboken, New Jersey : John Wiley & Sons, Inc., 2017",NV00002143
Become : the path to purposeful leadership / Mark Hannum, ,"Hannum, Mark", ,"Executive Management;""Executive coaching"";""Executive ability"";""Leadership."";""Success in business.""","New York : McGraw-Hill, [2020]","NV00002667;""NV00002666"""
The motive : why so many leaders abdicate their most important responsibilities / Patrick Lencioni, ,"Lencioni, Patrick", ,"Excutive Management;""Leadership""","Hoboken, New Jersey : John Wiley & Sons, Inc., [2020]",NV00002610
"How to lead a values-based professional services firm : 3 keys to unlock purpose and profit / Don Scales, Fran Biderman-Gross.", ,"Scales, Don","Biderman-Gross, Fran","Executive Management;""Professional corporations""","Hoboken, New Jersey : John Wiley & Sons, Inc., [2020]","NV00002669;""NV00002668"""
Corporate finance / Stephen A. Ross, ,"Ross,Stephen A.", ,"Finance and Banking;""Corporations Finance Corporations Finance""","New York, NY : McGraw-Hill Education, 2019","NV00002092;""NV00002091"""
Handbook of technology and innovation management / Scott Shane, , ,"Shane, Scott","Excutive Management;""Technological innovations"";""Knowledge management""","Chichester, England ; Hoboken, NJ : Wiley, 2008",NV00002609
"Cross-cultural management : essential concepts / David C. Thomas, Mark F. Peterson.", ,"Thomas, David C.","Peterson, Mark F.","Excutive Management;""International business enterprises"";""Management"";""0Intercultural communication.""","Los Angeles : SAGE, [2018]",NV00002608
Managing at the leading edge : navigating and piloting business strategy at critical moments/ Tom Rose, ,"Rose, Tom", ,"Executive Management;""Affaires Leadership"";""Business Leadership"";""Electronic books""","New York: McGraw-Hill Education, 2017","NV00002653;""NV00002652"""
"Corporate finance / Jonathan B. Berk, Peter M. DeMarzo", ,"Berk, Jonathan B.","DeMarzo, Peter M.","Finance and Banking;""Corporate Finance""","England ; Munich : Pearson, Harlow, 2020","NV00002142;""NV00002141"""
The innovation ultimatum : how six strategic technologies will reshape every business in the 2020s / Steve Brown, ,"Brown, Steve", ,"Executive Management;""Business"";""Digital communications"";""Neural computers""","Hoboken, New Jersey : Wiley, [2020]","NV00002654;""NV00002655"""
"Standards for management systems : A comprehensive guide to content, implementation tools, and certification schemes / Herfried Kohl", ,"Kohl, Herfried", ,"Excutive  Management;""Gestion Normes""","Cham: Springer , 2020","NV00002606;""NV00002607"""
Cost-benefit analysis : concepts and practice / Anthony E. Boardman, ,"Boardman, Anthony E.", ,"Finance and Banking;""Cost effectiveness.""","Cambridge, United Kingdom ; New York, NY : Cambridge University Press, [2018]",NV00002145
"Entrepreneurship : successfully launching new ventures / Bruce R. Barringer, R. Duane Ireland", ,"Barringer, Bruce R.","Ireland, R. Duane","Finance and Banking;""Entrepreneurship."";""New business enterprises.""","New York, NY : Pearson, [2019]","NV00002115;""NV00002116"""
Wiley revenue recognition Understanding and implementing the new standard/ Joanne M. Flood, ,"Flood, Joanne M.","Flood, Joanne M.","Executive Management;""Accounting Standards"";""Accounting Standards United States""",New Jersey Wiley; 2017,"NV00002519;""NV00002518"""
"Strategic doing : ten skills for agile leadership / Edward Morrison, Scott Hutcheson, Elizabeth Nilsen, Janyce Fadden, Nancy Franklin", , ,"Morrison, Edward;""Hutcheson, Scott"";""Nilsen, Elizabeth"";""Fadden, Janyce"";""Franklin, Nancy""","Excutive Management;""Business networks"";""Public-private sector cooperation"";""Leadership""","Hoboken, New Jersey : John Wiley & Sons, Inc., [2019]","NV00002605;""NV00002604"""
"The Handbook of Service Innovation / Renu Agarwal, Willem Selen, Go?ran Roos, Roy Green.", , ,"Agarwal, Renu;""Selen, Willem"";""Roos, Go?ran"";""Green, Roy""","Executive Management;""Engineering economy"";""Production management."";""Industrial organization."";""Operations Management."";""Industrial Organization.""","London : Springer London : Imprint: Springer, 2015","NV00002526;""NV00002527"""
Public finance and public policy / Jonathan Gruber, ,"Gruber, Jonathan", ,"Finance and Banking;""Finance, Public"";""Fiscal policy"";""Public welfare"";""Taxation""","New York : Worth Publishers, [2019]","NV00002132;""NV00002131"""
"Intercultural communication in the global workplace / Iris Varner, Linda Beamer", ,"Varner, Iris I.","Beamer, Linda","Excutive Management;""Business communication"";""International business enterprises"";""Intercultural communication""","New York : McGraw-Hill/Irwin, 2011","NV00002603;""NV00002602"""
Electronic commerce / Gary P. Schneider, ,"Schneider, Gary P.", ,"Excutive Management;""Business enterprises Computer networks"";""Electronic commerce Management""","Australia: Cengage Learning, 2017","NV00002631;""NV00002630"""
"Artificial intelligence for audit, forensic accounting, and valuation : a strategic perspective / Ali S. Naqvi", ,"Naqvi, Ali S.", ,"Executive Management;""Auditing"";""Forensic accounting"";""Valuation"";""Artificial intelligence""","Hoboken : Wiley, 2020","NV00002657;""NV00002656"""
"Scaling leadership : building organizational capability and capacity to create outcomes that matter most / Robert J. Anderson, William A. Adams ; Foreword by Ed Catmull.", ,"Anderson, Robert J.","Adams, W. A.","Excutive Management;""Leadership""","Hoboken, New Jersey : John Wiley & Sons, Inc., 2019","NV00002629;""NV00002628"""
Principles of managerial finance / Chad J. Zutter, ,"Zutter, Chad J.","Smart, Scott B.","Finance and Banking;""Corporations"";""Business enterprises""","New York, NY : Pearson, [2019]",NV00002154
