Nhan ??,Nhan ?? khác,Tác gi?,Tác gi? khác,Ch? ??,Thông tin xu?t b?n,Barcode
Giáo trình Qu?n tr? công ty / Lê Công Hoa.PGS.TS ( ??ng ch? biên ), ,"Lê, Công Hoa","Tr??ng, Th? Nam Th?ng.PGS.TS,  ??ng ch? biên;""?ào, Thanh Tùng,TS,  ??ng ch? biên""","Kinh t? doanh nghi?p;""Giáo trình"";""Qu?n tr? công ty""","Hà N?i : ??i h?c Kinh t? Qu?c dân, 2024","VV00021912;""VV00021911"";""VV00021910"";""VV00021909"";""VV00021908"";""VV00021907"";""VV00021906"";""VV00021905"";""VV00021904"";""VV00021903"";""VV00021902"";""VV00021901"";""VV00021900"";""VV00021899"";""VV00021898"";""VV00021897"";""VV00021896"";""VV00021895"";""VV00021894"";""VV00021893"""
Giáo trình Kh?i s? kinh doanh / Nguy?n Ng?c Huy?n.PGS.TS ( ??ng ch? biên), ,"Nguy?n, Ng?c Huy?n","Ngô, Th? Vi?t Nga.TS,  ??ng ch? biên","Kinh t? doanh nghi?p;""Giáo trình"";""Kh?i s? kinh doanh""","Hà N?i : ??i h?c Kinh t? Qu?c dân, 2024;""Tái b?n l?n th? 3""","VV00021932;""VV00021931"";""VV00021930"";""VV00021929"";""VV00021928"";""VV00021927"";""VV00021926"";""VV00021925"";""VV00021924"";""VV00021923"";""VV00021922"";""VV00021921"";""VV00021920"";""VV00021919"";""VV00021918"";""VV00021917"";""VV00021916"";""VV00021915"";""VV00021914"";""VV00021913"""
Giáo trình Ch?ng khoán phát sinh / Nguy?n Th? Minh Hu? (??ng ch? biên), ,"Nguy?n, Th? Minh Hu?","Nguy?n, Ng?c Trâm,  ??ng ch? biên","Ngân hàng - Tài chính;""Giáo trình"";""Ch?ng khoán phát sinh""","Hà N?i : ??i h?c Kinh t? Qu?c dân, 2024","VV00021952;""VV00021951"";""VV00021950"";""VV00021949"";""VV00021948"";""VV00021947"";""VV00021946"";""VV00021945"";""VV00021944"";""VV00021943"";""VV00021942"";""VV00021941"";""VV00021940"";""VV00021939"";""VV00021938"";""VV00021937"";""VV00021936"";""VV00021935"";""VV00021934"";""VV00021933"""
Giáo trình V?t lý môi tr??ng / T?ng Th? H?o Tâm.TS (??ng ch? biên ), ,"T?ng, Th? H?o Tâm","??, Quang Trung.PGS.TS,  ??ng ch? biên","Kinh t? tài nguyên và môi tr??ng;""V?t lý"";""Khoa h?c môi tr??ng"";""Giáo trình""","Hà N?i : ??i h?c Kinh t? Qu?c dân, 2024","VV00021972;""VV00021971"";""VV00021970"";""VV00021969"";""VV00021968"";""VV00021967"";""VV00021966"";""VV00021965"";""VV00021964"";""VV00021963"";""VV00021962"";""VV00021961"";""VV00021960"";""VV00021959"";""VV00021958"";""VV00021957"";""VV00021956"";""VV00021955"";""VV00021954"";""VV00021953"""
H??ng d?n h?c Xác su?t và th?ng kê ?ng d?ng trong kinh t? / Nguy?n M?nh Th? ( ??ng ch? biên ), ,"Nguy?n, M?nh Th?","Ph?m, Ng?c H?ng,  ??ng ch? biên;""Bùi, D??ng H?i,  ??ng ch? biên""","Toán kinh t?;""Xác su?t"";""Th?ng kê"";""Kinh t?""","Hà N?i : ??i h?c Kinh t? Qu?c dân, 2024","VV00021992;""VV00021991"";""VV00021990"";""VV00021989"";""VV00021988"";""VV00021987"";""VV00021986"";""VV00021985"";""VV00021984"";""VV00021983"";""VV00021982"";""VV00021981"";""VV00021980"";""VV00021979"";""VV00021978"";""VV00021977"";""VV00021976"";""VV00021975"";""VV00021974"";""VV00021973"""
Giáo trình Qu?n lý y t? / Mai Ng?c Anh (Ch? biên), ,"Mai, Ng?c Anh", ,"Khoa h?c qu?n lý;""Giáo trình"";""Qu?n lý y t?""","Hà N?i : ??i h?c Kinh t? Qu?c dân, 2024","VV00022012;""VV00022011"";""VV00022010"";""VV00022009"";""VV00022008"";""VV00022007"";""VV00022006"";""VV00022005"";""VV00022004"";""VV00022003"";""VV00022002"";""VV00022001"";""VV00022000"";""VV00021999"";""VV00021998"";""VV00021997"";""VV00021996"";""VV00021995"";""VV00021994"";""VV00021993"""
Giáo trình qu?n tr? giám sát / Nguy?n Thu Th?y (??ng ch? biên), ,"Nguy?n, Thu Th?y","Nguy?n, Th? Liên H??ng,  ??ng ch? biên","Khoa h?c qu?n lý;""Giáo trình"";""Qu?n tr? giám sát"";""Giám sát""","Hà N?i : ??i h?c Kinh t? Qu?c dân, 2024","VV00022032;""VV00022031"";""VV00022030"";""VV00022029"";""VV00022028"";""VV00022027"";""VV00022026"";""VV00022025"";""VV00022024"";""VV00022023"";""VV00022022"";""VV00022021"";""VV00022020"";""VV00022019"";""VV00022018"";""VV00022017"";""VV00022016"";""VV00022015"";""VV00022014"";""VV00022013"""
Giáo trình Qu?n lý thay ??i / Nguy?n Th? L? Thúy (Ch? biên), ,"Nguy?n, Th? L? Thúy", ,"Khoa h?c qu?n lý;""Giáo trình"";""Qu?n lý thay ??i""","Hà N?i : ??i h?c Kinh t? Qu?c dân, 2024","VV00022052;""VV00022051"";""VV00022050"";""VV00022049"";""VV00022048"";""VV00022047"";""VV00022046"";""VV00022045"";""VV00022044"";""VV00022043"";""VV00022042"";""VV00022041"";""VV00022040"";""VV00022039"";""VV00022038"";""VV00022037"";""VV00022036"";""VV00022035"";""VV00022034"";""VV00022033"""
Giáo trình Qu?n lý ch?c n?ng ho?t ??ng c?a t? ch?c / Nguy?n Th? L? Thúy (??ng ch? biên), ,"Nguy?n, Th? L? Thúy","Bùi, Th? H?ng Vi?t,  ??ng ch? biên","Khoa h?c qu?n lý;""Giáo trình"";""Qu?n lý ch?c n?ng"";""T? ch?c""","Hà N?i : ??i h?c Kinh t? Qu?c dân, 2024","VV00022072;""VV00022071"";""VV00022070"";""VV00022069"";""VV00022068"";""VV00022067"";""VV00022066"";""VV00022065"";""VV00022064"";""VV00022063"";""VV00022062"";""VV00022061"";""VV00022060"";""VV00022059"";""VV00022058"";""VV00022057"";""VV00022056"";""VV00022055"";""VV00022054"";""VV00022053"""
Giáo trình Th?m ??nh tài chính d? án / Tr?n ??c Th?ng ( Ch? biên), ,"Tr?n, ??c Th?ng", ,"Ngân hàng - Tài chính;""Giáo trình"";""Th?m ??nh"";""Tài chính d? án""","Hà N?i : ??i h?c Kinh t? Qu?c dân, 2024","VV00022092;""VV00022091"";""VV00022090"";""VV00022089"";""VV00022088"";""VV00022087"";""VV00022086"";""VV00022085"";""VV00022084"";""VV00022083"";""VV00022082"";""VV00022081"";""VV00022080"";""VV00022079"";""VV00022078"";""VV00022077"";""VV00022076"";""VV00022075"";""VV00022074"";""VV00022073"""
Giáo trình Qu?n tr? ngu?n nhân l?c / Tr??ng ??c Thao (Ch? biên), ,"Tr??ng, ??c Thao","Ph?m, V?n Minh,  ??ng ch? biên;""D??ng, Minh Tú,  ??ng ch? biên""","Qu?n tr? nhân l?c;""Qu?n tr?"";""Ngu?n nhân l?c"";""Giáo trình""","Hà N?i : ??i h?c qu?c gia, 2024","VV00022414;""VV00022413"";""VV00022412"";""VV00022411"";""VV00022410"""
Giáo trình Lý lu?n v? qu?n tr? v?n phòng / V? Th? Ph?ng (Ch? biên), ,"V?, Th? Ph?ng","Cam, Anh Tu?n;""Nguy?n, H?ng Duy"";""Nguy?n, Th? Kim Bình"";""Ph?m, Th? Di?u Linh""","Khoa h?c qu?n lý;""Qu?n tr?"";""V?n phòng"";""Giáo trình""","Hà N?i : ??i h?c Qu?c gia, 2024;""Tái b?n l?n 1""","VV00022194;""VV00022193"";""VV00022192"""
Giáo trình Pháp lu?t th??ng m?i ?i?n t? / V? Quang ( ??ng ch? biên), ,"V?, Quang","Nguy?n, V?n Lâm,  ??ng ch? biên","Kinh t? th??ng m?i;""Pháp lu?t"";""Th??ng m?i ?i?n t?"";""Giáo trình""","Hà N?i : Tài chính, 2024","VV00022399;""VV00022398"";""VV00022397"";""VV00022396"";""VV00022395"""
Giáo trình ?i?u khi?n t? ??ng / Nguy?n Quang Hoan (Ch? biên), ,"Nguy?n, Quang Hoan", ,"Công ngh? thông tin;""?i?u khi?n t? ??ng"";""Giáo trinh""","Hà N?i : Tài chính, 2024","VV00022176;""VV00022175"";""VV00022174"";""VV00022173"";""VV00022172"""
Giáo trình Qu?n tr? ngân hàng / ?? Th? Kim H?o ( ??ng ch? biên), ,"??, Th? Kim H?o","Nguy?n, Thùy D??ng,  ??ng ch? biên","Ngân hàng - Tài chính;""Giáo trình"";""Qu?n tr? ngân hàng"";""Ngân hàng""","Hà N?i : Lao ??ng, 2024","VV00022102;""VV00022101"";""VV00022100"";""VV00022099"";""VV00022098"";""VV00022097"";""VV00022096"";""VV00022095"";""VV00022094"";""VV00022093"""
Giáo trình Lu?t hình s? Vi?t Nam ( Ph?n các t?i ph?m ).  T?p 2/ Ph?m M?nh Hùng ( ??ng ch? biên), ,"Ph?m, M?nh Hùng","L?i, Vi?t Quang,  ??ng ch? biên","Lu?t;""Giáo trình"";""Lu?t hình s?"";""T?i ph?m""","Tái b?n l?n th? hai;""Hà N?i : ??i h?c Qu?c gia, 2024""","VV00022257;""VV00022256"";""VV00022255"";""VV00022254"""
Giáo trình Lu?t hình s? Vi?t Nam (Ph?n các t?i ph?m ): T?p 1 / Ph?m M?nh Hùng (??ng ch? biên), ,"Ph?m, M?nh Hùng","L?i, Vi?t Quang,  ??ng ch? biên","Lu?t;""Giáo trình"";""Lu?t hình s?"";""Tái b?n l?n th? hai""","Tái b?n l?n th? hai;""Hà N?i : ??i h?c Qu?c gia, 2024""","VV00022250;""VV00022251"";""VV00022252"";""VV00022253"""
Giáo trình Marketing d?ch v? tài chính - ngân hàng / Ph?m Thu Th?y (Ch? biên), ,"Ph?m, Thu Th?y", ,"Ngân hàng - Tài chính;""Giáo trình"";""Marketing"";""D?ch v? tài chính"";""D?ch v? ngân hàng""","Hà N?i : Lao ??ng, 2024","VV00022122;""VV00022121"";""VV00022120"";""VV00022119"";""VV00022118"";""VV00022117"";""VV00022116"";""VV00022115"";""VV00022114"";""VV00022113"""
Giáo trình Kinh t? l??ng / Tr?n Ph??c Tr? (Ch? biên), ,"Tr?n, Ph??c Tr?","Nguy?n, Bá Th?;""Ngô, Tân""","Toán kinh t?;""Kinh t? l??ng"";""Giáo trình""","Hà N?i : Tài chính, 2024","VV00022161;""VV00022160"";""VV00022159"";""VV00022158"";""VV00022157"""
Giáo trình Kh?i s? kinh doanh / Lê Th? Minh H?ng (Ch? biên), ,"Lê, Th? Minh H?ng","Hoàng, Hà;""Nguy?n, S?n Tùng"";""Nguy?n, V?n Long""","Kinh t? doanh nghi?p;""Giáo trình"";""Kh?i nghi?p""","Hà N?i : ??i h?c ?à N?ng, 2022","VV00022429;""VV00022428"";""VV00022427"";""VV00022426"";""VV00022425"""
Giáo trình Nh?p môn kinh doanh / Lê Th? Minh H?ng, ,"Lê, Th? Minh H?ng","Nguy?n, Tr??ng S?n;""Hu?nh, Ph??ng ?ông""","Kinh t? doanh nghi?p;""Qu?n tr? kinh doanh"";""Qu?n tr? ngu?n nhân l?c"";""Qu?n tr? s?n xu?t"";""Qu?n tr? marketing"";""K? toán doanh nghi?p""","Hà N?i : Tài chính, 2024","VV00022433;""VV00022432"";""VV00022431"";""VV00022430"""
Giáo trình Thanh toán qu?c t? / H? H?u Ti?n, ,"H?, H?u Ti?n","Nguy?n, Th? Thi?u Quang;""H?, Th? H?i Ly"";""Phan, ?ình Anh"";""Lê, Ph??ng Dung""","Ngân hàng - Tài chính;""Giáo trình"";""Thanh toán qu?c t?""","Hà N?i : ??i h?c ?à N?ng, 2024","VV00022131;""VV00022130"";""VV00022129"";""VV00022128"";""VV00022127"""
Giáo trình Phân tích tài chính và ??nh giá doanh nghi?p/  Hà Ph??c V? (Ch? biên), ,"Hà, Ph??c V?","Hoàng, Tùng;""?oàn, Ng?c Phi Anh"";""Võ, H?ng Tâm"";""Nguy?n, Th? Thúy Ph??ng"";""Tr?n, ?ình Khôi Nguyên""","Ngân hàng - Tài chính;""Giáo trình"";""Phân tích tài chính"";""??nh giá doanh nghi?p""","Hà N?i : ??i h?c ?à N?ng, 2023","VV00022126;""VV00022125"";""VV00022124"";""VV00022123"""
Giáo trình Qu?n tr? chi?n l??c / Nguy?n Thanh Liêm (??ng ch? biên), ,"Nguy?n, Thanh Liêm","Phan, Hoàng Long,  ??ng ch? biên;""Nguy?n, Xuân Lãn"";""Võ, Quang Trí""","Kinh t? doanh nghi?p;""Qu?n tr? doanh nghi?p"";""Chi?n l??c kinh doanh"";""Giáo trình""","Hà N?i :  Tài chính, 2024","VV00022438;""VV00022437"";""VV00022436"";""VV00022435"";""VV00022434"""
Nh?p môn Th??ng m?i ?i?n t? /  Bùi V?n Danh, ,"Bùi, V?n Danh", ,"Kinh t? th??ng m?i;""Th??ng m?i ?i?n t?""","Hà N?i : Tài chính, 2024;""Tái b?n l?n th? 3, có ch?nh s?a b? sung""","VV00022389;""VV00022388"";""VV00022387"";""VV00022386"";""VV00022385"";""VV00022384"";""VV00022383"";""VV00022382"";""VV00022381"";""VV00022380"""
Thu? và ra quy?t ??nh tài chính / Ph?m Châu Thành, ,"Ph?m, Châu Thành","H?a, Trung Phúc","Thu?;""Thu?"";""Tài chính""","Hà N?i : Tài chính, 2024","VV00022171;""VV00022170"";""VV00022169"";""VV00022168"";""VV00022167"";""VV00022166"";""VV00022165"";""VV00022164"";""VV00022163"";""VV00022162"""
Qu?n lý th??ng m?i ?i?n t? ? Vi?t Nam trong b?i c?nh m?i /  V? Hoàng Linh (Ch? biên), ,"V?, Hoàng Linh", ,"Kinh t? th??ng m?i;""Qu?n lý nhà n??c"";""Th??ng m?i ?i?n t?"";""Vi?t Nam""","Hà N?i : Khoa h?c xã h?i, 2024","VV00022394;""VV00022393"";""VV00022392"";""VV00022391"";""VV00022390"""
"Hành vi t? ch?c :/ Con ng??i, công ngh? và s? th?nh v??ng / Tr?n Tr?ng Thùy", ,"Tr?n, Tr?ng Thùy", ,"Qu?n tr? nhân l?c;""Hành vi t? ch?c""","Hà N?i : Tài chính, 2024","VV00022409;""VV00022408"";""VV00022407"";""VV00022406"";""VV00022405"";""VV00022404"";""VV00022403"";""VV00022402"";""VV00022401"";""VV00022400"""
Ki?n trúc và thành ph? thông minh/  Sergio M. Figueiredo, ,"Figueiredo, Sergio M.","Krishnamurthy, Sukanya;""Schroeder, Torsten""","Kinh t? và qu?n lý ?ô th?;""Ki?n trúc"";""Thành ph? thông minh""","Hà N?i : Xây d?ng, 2021","VV00022458;""VV00022457"";""VV00022456"";""VV00022455"";""VV00022454"";""VV00022453"";""VV00022452"";""VV00022451"";""VV00022450"";""VV00022449"""
Phân tích báo cáo tài chính:  C?m nang dành cho ng??i th?c hi?n / Martin S. Fridson, ,"Fridson, S. Martin","Tr?n, M?nh C??ng ,  d?ch;""Fernando Alvarez""","K? toán - Ki?m toán;""Báo cáo tài chính"";""Phân tích""","Hà N?i : Tài chính, 2024;""?n b?n l?n th? 5""","VV00022367;""VV00022366"";""VV00022365"";""VV00022364"";""VV00022363"";""VV00022362"";""VV00022361"";""VV00022360"";""VV00022359"";""VV00022358"""
Gi?i mã GDP Trung Qu?c / T?ng Húc Quang, ,"T?ng, Húc Quang","C?m, Tú Tài ,  d?ch;""Lê, Quang Sáng  d?ch""","Kinh t? qu?c t?;""GDP"";""Trung Qu?c""","Hà N?i : ??i h?c Qu?c gia, 2021","VV00022374;""VV00022373"";""VV00022372"";""VV00022371"";""VV00022370"";""VV00022369"";""VV00022368"""
H? sinh thái công nghi?p 4.0: Nghiên c?u tr??ng h?p Israel và g?i m? cho Vi?t Nam / ?inh Công Hoàng, ,"?inh, Công Hoàng", ,"Kinh t? tài nguyên và Môi tr??ng;""H? sinh thái"";""Israel"";""Công nghi?p 4.0"";""Sách chuyên kh?o""","Hà N?i : Khoa h?c xã h?i, 2023","VV00022181;""VV00022180"";""VV00022179"";""VV00022178"";""VV00022177"""
Nâng cao hi?u bi?t tài chính cá nhân cho sinh viên Vi?t Nam. H??ng ??n m?c tiêu tài chính toàn di?n / Nguy?n Th? Hoài Lê (??ng ch? biên), ,"Nguy?n, Th? Hoài Lê","Tr?n, Th? Vi?t Th?ch, ??ng ch? biên","Ngân hàng - Tài chính;""Tài chính cá nhân"";""Sinh viên"";""Vi?t Nam""","Hà N?i : Khoa h?c xã h?i, 2023","VV00022112;""VV00022111"";""VV00022110"";""VV00022109"";""VV00022108"""
Phát tri?n d?ch v? thanh toán ?i?n t? ? Vi?t Nam trong b?i c?nh m?i/ Nguy?n Th? T? Quyên (Ch? biên), ,"Nguy?n, Th? T? Quyên", ,"Ngân hàng - Tài chính;""Thanh toán ?i?n t?"";""D?ch v? thanh toán""","Hà N?i : Khoa h?c xã h?i, 2023","VV00022107;""VV00022106"";""VV00022105"";""VV00022104"";""VV00022103"""
Con ???ng t? l?a k? thu?t s? c?a Trung Qu?c và hàm ý chính sách cho Vi?t Nam / Chu Ph??ng Qu?nh (Ch? biên), ,"Chu, Ph??ng Qu?nh", ,"Kinh t? qu?c t?;""Kinh t? qu?c t?"";""Kinh t? s?"";""Chính sách"";""Trung Qu?c""","Hà N?i : Khoa h?c xã h?i, 2024","VV00022379;""VV00022378"";""VV00022377"";""VV00022376"";""VV00022375"""
Chuy?n giao công ngh? trong ??u t? c?a Trung Qu?c vào Vi?t Nam /  Ph?m Bích Ng?c (Ch? biên), ,"Ph?m, Bích Ng?c", ,"Kinh t? ??u t?;""Chuy?n giao công ngh?"";""??u t?"";""Trung Qu?c"";""Vi?t Nam""","Hà N?i : Khoa h?c xã h?i, 2024","VV00022209;""VV00022208"";""VV00022207"";""VV00022206"";""VV00022205"""
Qu?n tr? nhà n??c trong n?n kinh t? s? ? m?t s? n??c Châu Âu /  ??ng Minh ??c (Ch? biên), ,"??ng, Minh ??c", ,"Khoa h?c qu?n lý;""Qu?n lý nhà n??c"";""Kinh t? s?"";""Châu Âu""","Hà N?i : Khoa h?c xã h?i, 2023","VV00022191;""VV00022190"";""VV00022189"";""VV00022188"";""VV00022187"""
"Lu?t b?o hi?m xã h?i n?m 2024 x? lý nh?ng hành vi sai ph?m và chính sách, ch? ?? ti?n l??ng hi?n hành/  Nguy?n Th? Ng?c Hoa (Ch? biên)", ,"Nguy?n, Th? Ng?c Hoa", ,"Lu?t;""Lu?t b?o hi?m xã h?i"";""Ti?n l??ng"";""Hành vi sai ph?m""","Hà N?i : Lao ??ng, 2024","VV00022249;""VV00022248"";""VV00022247"";""VV00022246"";""VV00022245"";""VV00022244"";""VV00022243"";""VV00022242"";""VV00022241"";""VV00022240"""
Liên k?t và phát tri?n doanh nghi?p h??ng t?i n?n kinh t? t? ch?/  Nguy?n Trúc Lê (??ng ch? biên), ,"Nguy?n, Trúc Lê","Nguy?n,Th? Anh Th? ,  ??ng ch? biên;""Nguy?n, Qu?c Vi?t,   ??ng ch? biên""","Kinh t? doanh nghi?p;""Kinh t? t? ch?"";""Doanh nghi?p""","Hà N?i : ??i h?c Qu?c gia, 2024","VV00022424;""VV00022423"";""VV00022422"";""VV00022421"";""VV00022420"";""VV00022419"";""VV00022418"";""VV00022417"";""VV00022416"";""VV00022415"""
"Tâm th?c tài chính :  ?ng d?ng lu?t h?p d?n ?? khai phá ti?m n?ng, thu hút s? giàu có, thành công và th?nh v??ng/  Maria Nemeth", ,"Nemeth, Maria","Th?o Hà,  d?ch","Ngân hàng - Tài chính;""Tài chính""","Hà N?i : Dân trí, 2024","VV00022141;""VV00022140"";""VV00022139"";""VV00022138"";""VV00022137"";""VV00022136"";""VV00022135"";""VV00022134"";""VV00022133"";""VV00022132"""
Ch?t l??ng d?ch v? khách s?n trong k? nguyên s? (Sách chuyên kh?o)/ Lê V?n Huy, ,"Lê, V?n Huy", ,"Kinh t? du l?ch và khách s?n;""Ch?t l??ng d?ch v?"";""Khách s?n"";""K? nguyên s?""","Hà N?i : Tài chính, 2023","VV00022204;""VV00022203"";""VV00022202"";""VV00022201"";""VV00022200"""
??y m?nh liên k?t phát tri?n du l?ch vùng Tây Nguyên / Võ V?n L?i (Ch? biên), ,"Võ, V?n L?i","V?, V?n Di?n;""Nguy?n, Th? Kim ?oan""","Kinh t? du l?ch và khách s?n;""Phát tri?n du l?ch"";""Tây Nguyên""","Hà N?i : Tài chính, 2024","VV00022199;""VV00022198"";""VV00022197"";""VV00022196"";""VV00022195"""
"Phát tri?n b?n v?ng trong k? nguyên VUCA : Rèn luy?n t? duy th?c chi?n, thúc ??y ??i m?i sáng t?o và qu?n lý hi?u qu? trong th?i k? bi?n ??ng / Jacobus (Kobus) Kok", ,"Kok, Jacobus (Kobus)","1980 Books( H?nh Dung) ,  d?ch;""Steve C. Van Den Heuvel""","K? n?ng;""Lãnh ??o"";""Doanh nghi?p"";""Trách nhi?m xã h?i"";""Tôn giáo"";""Kinh doanh""","Hà N?i : Lao ??ng, 2024","VV00022302;""VV00022301"";""VV00022300"";""VV00022299"";""VV00022298"";""VV00022297"";""VV00022296"";""VV00022295"";""VV00022294"";""VV00022293"""
L?p k? ho?ch Marketing bán hàng / Yukihiro Makita, ,"Makita, Yukihiro","Nga Di?p,  d?ch","Marketing;""Ti?p th?"";""Bán hàng"";""L?p k? ho?ch""","Hà N?i : Dân trí, 2024","VV00022277;""VV00022276"";""VV00022275"";""VV00022274"";""VV00022273"";""VV00022272"";""VV00022271"";""VV00022270"";""VV00022269"";""VV00022268"""
Brand Marketing / Lawrence Ingrassia, ,"Ingrassia, Lawrence","Lê, H?ng Ph??ng H?,  d?ch","Marketing;""Kinh doanh"";""C?u trúc th? tr??ng"";""T? duy kinh doanh"";""Bí quy?t thành công""","Hà N?i : Thanh niên, 2024","VV00022287;""VV00022286"";""VV00022285"";""VV00022284"";""VV00022283"";""VV00022282"";""VV00022281"";""VV00022280"";""VV00022279"";""VV00022278"""
L?p k? ho?ch qu?n lý m?c tiêu cá nhân / Jon Acuff, ,"Acuff, Jon","Lê, Th?y,  d?ch","K? n?ng;""Tâm lý h?c"";""L?p k? ho?ch"";""Thay ??i"";""Cá nhân""","Hà N?i : Công Th??ng, 2024","VV00022322;""VV00022321"";""VV00022320"";""VV00022319"";""VV00022318"";""VV00022317"";""VV00022316"";""VV00022315"";""VV00022314"";""VV00022313"""
The litte book chi?n l??c ?ón ??u trong th? tr??ng bi?n ??ng / John Mauldin, ,"Mauldin, John","Th?o Hà,  d?ch","Kinh t? ??u t?;""??u t? tài chính""","Hà N?i : Dân trí, 2024","VV00022219;""VV00022218"";""VV00022217"";""VV00022216"";""VV00022215"";""VV00022214"";""VV00022213"";""VV00022212"";""VV00022211"";""VV00022210"""
Business planning Ph??ng pháp l?p k? ho?ch chi ti?t và hi?u qu? / Patrick Bet David, ,"David, Bet Patrick","Dimkim, Greg;""Tr?n, H?i Lý,  d?ch""","Khoa h?c qu?n lý;""K? ho?ch kinh doanh"";""Kinh doanh thành công"";""Bí quy?t thành công""","Hà N?i : Công Th??ng, 2024","VV00022151;""VV00022150"";""VV00022149"";""VV00022148"";""VV00022147"";""VV00022146"";""VV00022145"";""VV00022144"";""VV00022143"";""VV00022142"""
Xây d?ng content th??ng hi?u cá nhân / V??ng Nh?t C?u, ,"V??ng, Nh?t C?u","Trang V?,  d?ch","K? n?ng;""Th??ng hi?u"";""Cá nhân"";""Thành công""","Hà N?i : Công Th??ng, 2024","VV00022312;""VV00022311"";""VV00022310"";""VV00022309"";""VV00022308"";""VV00022307"";""VV00022306"";""VV00022305"";""VV00022304"";""VV00022303"""
Same as ever quy lu?t b?t bi?n c?a b?n ch?t con ng??i và tâm lý làm giàu / Morgan Housel, ,"Housel, Morgan","Hoàng, Th? Minh Phúc,  d?ch","Tâm lý;""Tâm lý h?c ?ng d?ng"";""Cu?c s?ng"";""Thành công""","Hà N?i : Công Th??ng, 2024","VV00022156;""VV00022155"";""VV00022154"";""VV00022153"";""VV00022152"""
Ph??ng pháp nghiên c?u trong kinh doanh /  Lê V?n Huy (Ch? biên), ,Lê V?n Huy,"Tr?n, Tr??ng Trâm Anh","Giáo d?c;""Kinh doanh"";""Nghiên c?u khoa h?c"";""Ph??ng pháp nghiên c?u""","Hà N?i : Tài chính, 2024","VV00022186;""VV00022185"";""VV00022184"";""VV00022183"";""VV00022182"""
"H??ng d?n th?c hành 161 s? ?? k? toán hành chính, s? nghi?p. Ch? ?? k? toán hành chính, s? nghi?p : Theo Thông t? 24-2024-TT-BTC / Võ V?n Nh?", ,"Võ, V?n Nh?", ,"K? toán - Ki?m toán;""K? toán"";""Hành chính s? nghi?p""","H? Chí Minh : Kinh t? TP.HCM, 2024","VV00022347;""VV00022346"";""VV00022345"";""VV00022344"";""VV00022343"";""VV00022342"";""VV00022341"";""VV00022340"";""VV00022339"";""VV00022338"""
Bài t?p K? toán ngân hàng / Lâm Chí D?ng ?(Ch? biên), ,"Lâm, Chí D?ng","Phan, ??ng My Ph??ng;""Võ, Hoàng Di?m Trinh"";""Ph?m, V?n S?n"";""Nguy?n, Tr?n Thu?n"";""Hà, Xuân Thùy""","K? toán - Ki?m toán;""K? toán"";""Ngân hàng"";""Bài t?p""","Hà N?i : Tài chính, 2024","VV00022337;""VV00022336"";""VV00022335"";""VV00022334"";""VV00022333"""
K? toán Hành chính s? nghi?p:  Biên so?n theo Thông t? s? 24/2024/TT-BTC ngày 17 tháng 4 n?m 2024 c?a B? Tài Chính / Võ V?n Nh? (Ch? biên), ,"Võ, V?n Nh?","Nguy?n, Th? Huy?n Trâm,  Biên so?n;""Tr?n, Th? Thanh Huy?n, Biên so?n"";""Phan, Th? Tuy?t Trinh, Biên so?n""","K? toán - Ki?m toán;""Hành chính s? nghi?p"";""K? toán""","Hà N?i : Dân trí, 2024","VV00022357;""VV00022356"";""VV00022355"";""VV00022354"";""VV00022353"";""VV00022352"";""VV00022351"";""VV00022350"";""VV00022349"";""VV00022348"""
Ch? d?n tra c?u và áp d?ng Lu?t ??t ?ai n?m 2024/  Nguy?n Th? Ng?c Hoa ?(Ch? biên), ,"Nguy?n, Th? Ng?c Hoa", ,"Lu?t;""Lu?t ??t ?ai"";""Ch? d?n tra c?u""","Hà N?i : Lao ??ng, 2024","VV00022229;""VV00022228"";""VV00022227"";""VV00022226"";""VV00022225"";""VV00022224"";""VV00022223"";""VV00022222"";""VV00022221"";""VV00022220"""
"Lu?t ??t ?ai n?m 2024 và Án l? gi?i quy?t v? án, v? vi?c v? ??t ?ai trong th?c ti?n xét x?:  Sách tham kh?o/ Nguy?n Th? Ng?c Hoa  ?(Ch? biên)", ,"Nguy?n, Th? Ng?c Hoa", ,"Lu?t;""Lu?t ??t ?ai"";""Án l?"";""??t ?ai""","Hà N?i : Công an nhân dân, 2024","VV00022239;""VV00022238"";""VV00022237"";""VV00022236"";""VV00022235"";""VV00022234"";""VV00022233"";""VV00022232"";""VV00022231"";""VV00022230"""
?ô th? v? nhân sinh = Cities for People/  Jan Gehl, ,"Gehl, Jan","Nguy?n, Minh Huy?n,  d?ch;""Nguy?n, Quang Minh,  d?ch"";""Phó, ??c Tùng,  hi?u ?ính""","Kinh t? và qu?n lý ?ô th?;""?ô th?"";""V? nhân sinh""","Hà N?i : Xây d?ng, 2022","VV00022448;""VV00022447"";""VV00022446"";""VV00022445"";""VV00022444"";""VV00022443"";""VV00022442"";""VV00022441"";""VV00022440"";""VV00022439"""
